,index,Run-Time (minutes),mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,param_max_depth,param_max_features,param_metric,param_min_samples_split,param_n_neighbors,param_penalty,param_weights,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
log,98,6.97300912940021,0.20808134078979493,0.00195770263671875,0.75,0.7902266445550028,0.2848035868435805,,,,,,,l1,,"{'C': 0.2848035868435805, 'penalty': 'l1'}",1,0.6764705882352942,0.8208955223880597,0.7058823529411765,0.7835820895522388,0.8235294117647058,0.7985074626865671,0.8181818181818182,0.762962962962963,0.7272727272727273,0.7851851851851852,0.032288947137557596,0.0002679990020086156,0.059974105268654515,0.019089404255667203
svm,575,2.3223578687999784,0.019624090194702147,0.0020676612854003905,0.7738095238095238,0.8838916528468769,17.433288221999874,0.002395026619987486,,,,,,,,"{'C': 17.433288221999874, 'gamma': 0.002395026619987486}",1,0.6764705882352942,0.9104477611940298,0.7941176470588235,0.8582089552238806,0.8529411764705882,0.8582089552238806,0.8181818181818182,0.8814814814814815,0.7272727272727273,0.9111111111111111,0.0005823097149223357,6.753293686660176e-05,0.06387816564998246,0.023542033213565898
rf,6,8.703860142983224,0.1457742691040039,0.10313377380371094,0.8154761904761905,0.9925704809286898,,,11.0,auto,,7.0,,,,"{'max_depth': 11, 'max_features': 'auto', 'min_samples_split': 7}",1,0.8823529411764706,0.9925373134328358,0.7647058823529411,1.0,0.7352941176470589,0.9925373134328358,0.8181818181818182,0.9851851851851852,0.8787878787878788,0.9925925925925926,0.015090887107991372,0.00013611413359319567,0.059302172035551624,0.004684934064450271
nn,42,0.4849432604663889,0.0032468318939208986,0.007396173477172851,0.7619047619047619,1.0,,,,,manhattan,,2.0,,distance,"{'metric': 'manhattan', 'n_neighbors': 2, 'weights': 'distance'}",1,0.6764705882352942,1.0,0.8235294117647058,1.0,0.6764705882352942,1.0,0.8181818181818182,1.0,0.8181818181818182,1.0,0.00011266002177613302,0.0007153126598595858,0.07047792825062123,0.0
