title,subject,actual_price,actual,own_price_bin,own,meta
Falling Figure with Bird,2,1248000,1,3,1,0.9
Those Who Are Here Again,2,824000,1,2,1,0.8
Camel Driver,2,4500,0,1,0,0.5
Portrait-2,2,950,0,1,0,0.4
1304,2,6000,0,2,1,0.8
sleepy land,2,65,0,1,0,0.2
THE 10th MILKY WAY 5th CONSTELLATION GALAXY OF TUUNES,2,8000,0,1,0,0.4
Mapping the Soul,2,35,0,1,0,0.3
Bobs World,2,822400,1,2,1,0.6
Recompensa,2,980,0,2,1,0.6
High Society,2,968000,1,1,0,0.6
Jasmine,2,4200,0,2,1,0.7
A Question of Balance,2,950,0,1,0,0.4
Panic,2,75,0,1,0,0.2
under the sun,2,4800,0,2,1,0.6
abstract66,2,7500,0,1,0,0.6
White line melody,2,850,0,1,0,0.4
Lavender Mist,2,420000,1,3,1,0.9
Figure 4,2,17400000,1,3,1,0.8
Sharp Angle,2,350,0,1,0,0.4
Colorado River,2,192000,1,2,1,0.7
structure I,2,50,0,1,0,0.4
Self-Portrait as Goofy-Foot,2,744000,1,2,1,0.7
tree of life,2,9000,0,1,0,0.4
Flannan,2,936000,1,2,1,0.7
Calvary,2,850,0,2,1,0.7
RED CHANGER,2,9100,0,2,1,0.6
Samurai,2,85,0,2,1,0.8
Standing Male Nude in the Shower,2,1160000,1,2,1,0.6
Folly,2,1200,0,1,0,0.5
a place,2,60,0,1,0,0.1
Nude Aqua,2,70,0,2,1,0.5
Bruce Bernard,2,119556,1,2,1,0.7
Yellow spin,2,6000,0,2,1,0.8
The still life with the flowers,2,650,0,1,0,0.6
dance in the living room,2,8000,0,1,0,0.4
Birdie View II,2,1625,0,2,1,0.7
Rhythmic Structure,2,4500,0,2,1,0.5
Dilusion,2,750,0,1,0,0.5
On The Couch,3,700,0,0,0,0
conversation with spoonbill,3,50,0,0,0,0
Nu debout,3,689600,1,0,0,0
ramana,3,9600,0,1,0,0.1
Captives,3,779200,1,1,0,0.05
Intruder,3,20,0,0,0,0
Midsummer Night,3,650,0,1,0,0
Waiting for the rain,3,100,0,0,0,0
Flor,3,800,0,0,0,0
Red Irises,3,2500,0,0,0,0
celestial,3,1900,0,1,0,0.1
Amazing land,3,89,0,0,0,0
Lotus Rising,3,14400,0,1,0,0
Mandala No3,3,1500,0,1,0,0
Quality Material,3,4408000,1,0,0,0
It is my thing this Evening,3,4500,0,0,0,0
Untitled - P137,3,1810276,1,0,0,0
Canada Two Toronto,3,8550,0,0,0,0
Night,3,1384000,1,1,0,0
"Untitled (Monsieur Francois Pinault, President du Groupe Artemis)",3,240000,1,1,0,0
Head and Bottle,3,6536000,1,1,0,0.05
Keep Me Safe,3,119556,1,0,0,0
Mouth #2,3,2168000,1,1,0,0.1
M-39,3,96000,1,1,0,0.05
Armenian Question,3,288000,1,0,0,0
Lip-biter,3,384000,1,1,0,0.05
Elemental 11,3,675,0,1,0,0
Interval Series apolyo,3,9000,0,1,0,0
