state,expt city,subject,own,meta,confidence,actual
Arkansas,Little_Rock,57346,0,0.8,1,1
Arkansas,Little_Rock,57394,1,0.8,0.75,1
Arkansas,Little_Rock,57427,1,0.55,0.65,1
Arkansas,Little_Rock,57436,1,0.7,1,1
Arkansas,Little_Rock,666,1,0.8,1,1
Arkansas,Little_Rock,a,1,0.97,1,1
Arkansas,Little_Rock,a2,1,0.9,0.8,1
Arkansas,Little_Rock,b2,1,0.65,1,1
Arkansas,Little_Rock,b3,1,0.74,1,1
Arkansas,Little_Rock,b4,0,0.5,0.5,1
Arkansas,Little_Rock,b5,1,0.8,0.75,1
Arkansas,Little_Rock,c1,1,0.75,1,1
Arkansas,Little_Rock,c2,0,0.7,0.6,1
Arkansas,Little_Rock,c3,1,0.9,0.9,1
Arkansas,Little_Rock,c4,1,0.8,0.9,1
Arkansas,Little_Rock,d10,1,0.5,0.5,1
Arkansas,Little_Rock,d2,0,0.5,0.5,1
Arkansas,Little_Rock,d3,1,0.75,1,1
Arkansas,Little_Rock,d6,0,0.5,0.5,1
Arkansas,Little_Rock,d6b,1,0.85,1,1
Arkansas,Little_Rock,d7,1,0.8,0.7,1
Arkansas,Little_Rock,d8,1,0.8,0.65,1
Arkansas,Little_Rock,d9,0,0.3,0.6,1
California,Los_Angeles,52966,0,0.4,1,0
California,Los_Angeles,sub1,0,0.2,1,0
California,Los_Angeles,31720,0,0.25,1,0
California,Los_Angeles,31828,0,0.5,1,0
California,Los_Angeles,32008,0,0.4,1,0
California,Los_Angeles,33550,1,1,1,0
California,Los_Angeles,43924,0,0.1,0.5,0
California,Los_Angeles,44383,0,0.95,1,0
California,Los_Angeles,52807,0,0.4,1,0
California,Los_Angeles,57337,0,1,1,0
California,Los_Angeles,57346,0,0.8,0.8,0
California,Los_Angeles,57394,0,0.25,1,0
California,Los_Angeles,57427,0,0.65,1,0
California,Los_Angeles,57436,0,0.1,1,0
California,Los_Angeles,666,0,0.5,1,0
California,Los_Angeles,a,1,0.9,0.85,0
California,Los_Angeles,a2,0,0.95,1,0
California,Los_Angeles,b2,0,0.25,1,0
California,Los_Angeles,b3,0,0.15,1,0
California,Los_Angeles,b4,1,0.8,0.9,0
California,Los_Angeles,b5,0,0.75,1,0
California,Los_Angeles,c1,0,0.5,1,0
California,Los_Angeles,c2,0,0.9,0.8,0
California,Los_Angeles,c3,0,0.01,1,0
California,Los_Angeles,c4,0,0.08,1,0
California,Los_Angeles,d10,1,0.95,0.9,0
California,Los_Angeles,d2,1,0.5,0.5,0
California,Los_Angeles,d3,1,0.9,1,0
California,Los_Angeles,d6,1,0.9,1,0
California,Los_Angeles,d6b,0,0.5,0.5,0
California,Los_Angeles,d7,0,0.3,1,0
California,Los_Angeles,d8,0,0.7,0.6,0
California,Los_Angeles,d9,1,0.9,0.8,0
Colorado,Denver,52966,1,0.65,0.75,1
Colorado,Denver,sub1,1,0.7,0.7,1
Colorado,Denver,31720,1,0.8,0.85,1
Colorado,Denver,31828,1,0.5,1,1
Colorado,Denver,32008,1,0.85,1,1
Colorado,Denver,33550,1,0.8,1,1
Colorado,Denver,43924,1,0.95,1,1
Colorado,Denver,44383,1,0.8,0.9,1
Colorado,Denver,52807,1,0.7,0.7,1
Colorado,Denver,57337,1,0.8,0.9,1
Colorado,Denver,57346,1,0.9,1,1
Colorado,Denver,57394,1,0.75,0.8,1
Colorado,Denver,57427,0,0.89,0.65,1
Colorado,Denver,57436,1,0.8,0.9,1
Colorado,Denver,666,1,0.8,1,1
Colorado,Denver,a,1,0.9,1,1
Colorado,Denver,a2,1,0.9,0.9,1
Colorado,Denver,b2,1,0.85,1,1
Colorado,Denver,b3,1,0.85,1,1
Colorado,Denver,b4,0,0.5,0.6,1
Colorado,Denver,b5,1,0.8,0.75,1
