,actual,"confidence_(0.5, 0.55]","confidence_(0.55, 0.6]","confidence_(0.6, 0.65]","confidence_(0.65, 0.7]","confidence_(0.7, 0.75]","confidence_(0.75, 0.8]","confidence_(0.8, 0.85]","confidence_(0.85, 0.9]","confidence_(0.9, 0.95]","confidence_(0.95, 1.0]","sc_(0.0, 0.05]","sc_(0.05, 0.1]","sc_(0.1, 0.15]","sc_(0.15, 0.2]","sc_(0.2, 0.25]","sc_(0.25, 0.3]","sc_(0.3, 0.35]","sc_(0.35, 0.4]","sc_(0.4, 0.45]","sc_(0.45, 0.5]","sc_(0.5, 0.55]","sc_(0.55, 0.6]","sc_(0.6, 0.65]","sc_(0.65, 0.7]","sc_(0.7, 0.75]","sc_(0.75, 0.8]","sc_(0.8, 0.85]","sc_(0.85, 0.9]","sc_(0.9, 0.95]","sc_(0.95, 1.0]",number_of_participants,own,topic,mean_sc,std_sc,min_sc,p25_sc,p50_sc,p75_sc,max_sc,mean_conf,std_conf,min_conf,p25_conf,p50_conf,p75_conf,max_conf,skew_own,skew_sc,skew_conf,skew_row_average,skew_row_skew,minority_percentage,real_expert_number,P_expert_number_rT,P_expert_number_rF,MEAN_P_expert_rT,MEAN_P_expert_rF,prelec_prediction,majority_prediction
36 - Benign ListaImagens\furuncle7.jpg,0,0.0,0.04,0.0,0.08,0.0,0.2,0.0,0.12,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.04,0.0,0.16,0.0,0.12,0.0,0.0,0.0,0.04,25,0.6666666666666666,dermatology,0.6833333333333335,0.16422453217986946,0.4,0.5750000000000001,0.7000000000000001,0.7999999999999999,1.0,0.8083333333333335,0.10836246694508317,0.5999999999999999,0.7750000000000002,0.7999999999999999,0.9000000000000002,1.0,-0.8124038404635955,0.02189383991692472,-0.1917102308026606,2.659637172068027,1.1001537634961331,0.3333333333333333,3,4,4.0,1,4,0,1
36 - Malignant ListaImagens\melanoma58.jpg,1,0.0,0.04,0.0,0.04,0.0,0.52,0.0,0.28,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.28,0.0,0.24,0.0,0.24,0.0,0.04,0.0,0.08,25,0.72,dermatology,0.6999999999999997,0.1471960144387974,0.4000000000000001,0.5999999999999998,0.6999999999999997,0.8000000000000003,1.0,0.84,0.09128709291752772,0.5999999999999998,0.8000000000000003,0.8000000000000003,0.8999999999999997,1.0,-1.0436507793895275,0.2556143806179281,-0.2143262181542024,2.6238087477750645,1.1367421140020222,0.2800000000000002,0,6,0.0,5,6,1,1
37 - Benign ListaImagens\granuloma_pyogenic11.jpg,0,0.0,0.04,0.0,0.28,0.0,0.36,0.0,0.24,0.0,0.08,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.16,0.0,0.08,0.0,0.32,0.0,0.08,0.0,0.2,0.0,0.0,25,0.28,dermatology,0.6479999999999998,0.1960442127004348,0.20000000000000007,0.5,0.6999999999999997,0.8000000000000003,0.8999999999999997,0.8039999999999998,0.10198039027185574,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,1.0436507793895275,-0.5264963463532163,0.1709457114394302,3.055473797513003,0.7671555332815996,0.2800000000000002,0,4,0.0,3,4,0,0
37 - Malignant ListaImagens\melanoma70.jpg,1,0.0,0.0,0.0,0.12,0.0,0.4,0.0,0.44,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.16,0.0,0.16,0.0,0.24,0.0,0.12,0.0,0.2,0.0,0.08,25,0.72,dermatology,0.7159999999999997,0.16999999999999996,0.4000000000000001,0.5999999999999998,0.6999999999999997,0.8999999999999997,1.0,0.84,0.07637626158259735,0.6999999999999997,0.8000000000000003,0.8000000000000003,0.8999999999999997,1.0,-1.043650779389529,0.0055752705776164575,-0.2439703120650837,2.6322568075468302,1.1135477434197083,0.2800000000000002,1,6,0.0,4,6,1,1
4 - benign xanthogranuloma.jpg,0,0.0,0.16,0.0,0.16,0.0,0.28,0.0,0.32,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.16,0.0,0.24,0.0,0.32,0.0,0.2,0.0,0.04,0.0,0.0,25,0.48,dermatology,0.66,0.12247448713915887,0.4000000000000001,0.5999999999999998,0.6999999999999997,0.6999999999999997,0.8999999999999997,0.78,0.1290994448735806,0.5,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,0.08526788484268882,-0.1774992567234191,-0.4799131537691804,2.8114314824039486,-0.4162259409065552,0.4800000000000002,8,11,0.0,8,11,0,0
4 - malignant superficial spreading melanoma.jpg,1,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.24,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.28,0.0,0.6,25,1.0,dermatology,0.9400000000000002,0.09574271077563384,0.5999999999999998,0.8999999999999997,1.0,1.0,1.0,0.96,0.0645497224367903,0.8000000000000003,0.8999999999999997,1.0,1.0,1.0,0.0,-2.1673700247448533,-1.4144808742670492,2.294635375595957,4.099070347683736,0.0,0,0,0.0,0,0,1,1
41 - Malignant ListaImagens\fibroxanthoma-atypical_fibroxanthoma1.jpg,1,0.0,0.16,0.0,0.08,0.0,0.28,0.0,0.32,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.2,0.0,0.08,0.0,0.12,0.0,0.24,0.0,0.12,0.0,0.12,25,0.16,dermatology,0.6920000000000001,0.2119748412744621,0.2999999999999999,0.5,0.6999999999999997,0.8000000000000003,1.0,0.8240000000000003,0.12999999999999992,0.5999999999999998,0.8000000000000003,0.8000000000000003,0.8999999999999997,1.0,1.9754091793527024,-0.2858004521617837,-0.4854445785755268,3.086101227625993,-0.006020285056339428,0.16000000000000006,2,2,4.0,2,2,0,0
43 - Benign ListaImagens\impetigo12 .jpg,0,0.0,0.0,0.0,0.12,0.0,0.08,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.0,25,0.4166666666666667,dermatology,0.741666666666667,0.13113721705515066,0.5,0.6749999999999999,0.75,0.8249999999999998,0.9000000000000002,0.8333333333333338,0.08876253645985953,0.7000000000000001,0.7750000000000002,0.9000000000000002,0.9000000000000002,0.9000000000000002,0.3884033249820895,-0.3634757493583228,-0.7972871618110514,2.7934487737608964,-0.298998491640956,0.4166666666666667,0,0,0.0,0,0,0,0
43 - Malignant ListaImagens\keratoacanthoma4.jpg,1,0.0,0.0,0.0,0.04,0.0,0.12,0.0,0.28,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.2,0.0,0.08,0.0,0.04,0.0,0.08,25,0.9230769230769232,dermatology,0.746153846153846,0.15063966175050875,0.5,0.7,0.7,0.8,1.0,0.8769230769230772,0.08320502943378437,0.7,0.8,0.9000000000000002,0.9000000000000002,1.0,-3.6055512754639873,0.4326695567971854,-0.5280857928709884,2.434938048534589,2.4774823259208967,0.0769230769230769,0,0,0.0,0,0,1,1
44 - Benign ListaImagens\keratosis_seborrheic2.jpg,0,0.0,0.12,0.0,0.12,0.0,0.36,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.08,0.0,0.2,0.0,0.2,0.0,0.08,0.0,0.28,0.0,0.04,0.0,0.0,25,0.16,dermatology,0.5999999999999998,0.18929694486000911,0.20000000000000007,0.5,0.5999999999999998,0.8000000000000003,0.8999999999999997,0.7880000000000001,0.11661903789690604,0.5,0.6999999999999997,0.8000000000000003,0.8999999999999997,0.8999999999999997,1.9754091793527024,-0.360548652236478,-0.9482314674039902,3.180760283103668,0.7836973044248267,0.16000000000000006,3,3,0.0,2,4,0,0
45 - Malignant ListaImagens\lentigo_maligna-melanoma2.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.4,25,1.0,dermatology,0.953846153846154,0.09674179220468453,0.7,1.0,1.0,1.0,1.0,0.9846153846153848,0.037553380809940536,0.9000000000000002,1.0,1.0,1.0,1.0,0.0,-2.0853806552455585,-2.1787168040147344,2.2899561482930095,2.8066264353339703,0.0,0,0,0.0,0,0,1,1
46 - Benign ListaImagens\Leprosy_tuberculoid84.jpg,0,0.0,0.04,0.0,0.08,0.0,0.12,0.0,0.28,0.0,0.48,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.12,0.0,0.2,0.0,0.2,0.0,0.28,25,0.04,dermatology,0.7600000000000001,0.2798809270624443,0.0,0.6999999999999997,0.8000000000000003,1.0,1.0,0.9080000000000004,0.11518101695447328,0.5999999999999998,0.8999999999999997,0.8999999999999997,1.0,1.0,4.999999999999999,-1.5468452047775778,-1.2345795761331104,3.2410193492341093,2.0442483521150105,0.040000000000000015,0,0,0.0,0,0,0,0
46 - Malignant ListaImagens\squamous_cell_carcinoma12.jpg,1,0.0,0.08,0.0,0.08,0.0,0.4,0.0,0.36,0.0,0.08,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.16,0.0,0.04,0.0,0.16,0.0,0.28,0.0,0.12,0.0,0.08,25,0.12,dermatology,0.6799999999999998,0.21602468994692867,0.20000000000000007,0.5,0.6999999999999997,0.8000000000000003,1.0,0.8279999999999997,0.10214368964029713,0.5999999999999998,0.8000000000000003,0.8000000000000003,0.8999999999999997,1.0,2.4907458899902215,-0.5552764185359446,-0.6197197166062319,3.1724542096705486,1.0071183956454357,0.12000000000000005,0,0,3.0,1,1,0,0
47 - Benign ListaImagens\lichen_planus-vesicular3.jpg,0,0.0,0.08,0.0,0.2,0.0,0.48,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.36,0.0,0.12,0.0,0.2,0.0,0.24,0.0,0.0,0.0,0.0,25,0.16,dermatology,0.612,0.14525839046333952,0.2999999999999999,0.5,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.7719999999999999,0.10214368964029713,0.5,0.6999999999999997,0.8000000000000003,0.8000000000000003,0.8999999999999997,1.9754091793527024,-0.13703313940522935,-0.910200584429558,3.1299392833477966,-0.006795254825424005,0.16000000000000006,0,0,0.0,0,2,0,0
47 - Malignant ListaImagens\squamous_cell_carcinoma42.jpg,1,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.2,0.0,0.08,0.0,0.08,0.0,0.04,25,0.8461538461538461,dermatology,0.7307692307692306,0.15483655567842813,0.4,0.7,0.7,0.8,1.0,0.8615384615384619,0.06504436355879907,0.8,0.8,0.9000000000000002,0.9000000000000002,1.0,-2.1787168040147327,-0.2901109876762437,0.5717648787662901,2.5189375931766262,2.385969940954936,0.1538461538461538,0,2,0.0,0,2,1,1
48 - Malignant ListaImagens\squamous_cell_carcinoma67.jpg,1,0.0,0.12,0.0,0.24,0.0,0.28,0.0,0.24,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.24,0.0,0.28,0.0,0.16,0.0,0.12,0.0,0.0,0.0,0.12,25,0.68,dermatology,0.6479999999999998,0.17349351572897473,0.4000000000000001,0.5,0.5999999999999998,0.6999999999999997,1.0,0.8000000000000003,0.1224744871391589,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,-0.8219035275816577,0.7910277854409817,0.0,2.705635106930203,0.7445072506225386,0.3200000000000001,3,8,0.0,3,8,1,1
5 - benign blue naevus.jpg,0,0.0,0.08,0.0,0.12,0.0,0.04,0.0,0.12,0.0,0.12,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.12,0.0,0.04,0.0,0.12,0.0,0.04,25,0.16666666666666666,dermatology,0.7000000000000001,0.2412090756622109,0.09999999999999998,0.5999999999999999,0.7000000000000001,0.9000000000000002,1.0,0.8166666666666665,0.1527525231651947,0.5999999999999999,0.7000000000000001,0.8499999999999998,0.9250000000000002,1.0,2.0552372125864222,-1.3525610473168097,-0.14963512473324928,3.1477619767757785,1.9733245543958875,0.16666666666666666,0,0,0.0,0,0,0,0
50 - Malignant ListaImagens\Melanoma43.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.44,25,1.0,dermatology,0.9692307692307692,0.08548504142651102,0.7,1.0,1.0,1.0,1.0,0.9769230769230768,0.04385290096535145,0.9000000000000002,1.0,1.0,1.0,1.0,0.0,-3.0784086940294846,-1.4511323592170815,2.2876544041465543,3.425784645834625,0.0,0,0,0.0,0,0,1,1
52 - Benign ListaImagens\pityriasis_lichenoides_et_varioliformis_acuta19.jpg,0,0.0,0.08,0.0,0.2,0.0,0.12,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.28,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,25,0.3333333333333333,dermatology,0.5333333333333333,0.1497472618255253,0.3,0.5,0.5,0.5250000000000001,0.9000000000000002,0.7416666666666668,0.09962049198956224,0.5999999999999999,0.7000000000000001,0.7000000000000001,0.7999999999999999,0.9000000000000002,0.8124038404635966,1.2633899737653898,0.2743235224904569,3.054278823343744,0.19189634200709768,0.3333333333333333,0,0,0.0,0,0,0,0
52 - Malignant ListaImagens\squamous_cell_carcinoma19.jpg,1,0.0,0.0,0.0,0.04,0.0,0.2,0.0,0.2,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.04,0.0,0.04,0.0,0.12,0.0,0.04,0.0,0.08,25,0.4615384615384616,dermatology,0.7,0.19578900207451214,0.5,0.5,0.7,0.8,1.0,0.8615384615384619,0.0869718492622904,0.7,0.8,0.9000000000000002,0.9000000000000002,1.0,0.17520438393807816,0.31493126987754355,0.03188960235153122,2.859835619146541,-0.045147605477381766,0.4615384615384616,0,0,6.0,0,0,0,0
53 - Benign ListaImagens\reiter's_syndrome41.jpg,0,0.0,0.0,0.0,0.04,0.0,0.2,0.0,0.16,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.04,0.0,0.16,0.0,0.12,0.0,0.08,0.0,0.0,25,0.9166666666666666,dermatology,0.7166666666666667,0.13371158468430427,0.5,0.6749999999999999,0.7000000000000001,0.7999999999999999,0.9000000000000002,0.8583333333333334,0.090033663737852,0.7000000000000001,0.7999999999999999,0.8499999999999998,0.9000000000000002,1.0,-3.464101615137755,-0.359995682752456,0.15155286641242513,2.4697534736658078,2.2418487840745382,0.08333333333333333,0,0,1.0,0,0,1,1
54 - Malignant ListaImagens\squamous_cell_carcinoma57.jpg,1,0.0,0.08,0.0,0.24,0.0,0.44,0.0,0.2,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.32,0.0,0.2,0.0,0.16,0.0,0.04,0.0,0.04,0.0,0.08,25,0.48,dermatology,0.5879999999999996,0.19857828011475304,0.20000000000000007,0.5,0.5999999999999998,0.6999999999999997,1.0,0.7880000000000001,0.09712534856222316,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8000000000000003,1.0,0.08526788484268882,0.3881648729283135,-0.03986150381236198,2.9857542566201216,0.7928628195121697,0.4800000000000002,0,5,12.0,0,5,0,0
55 - Malignant ListaImagens\squamous_cell_carcinoma71.jpg,1,0.0,0.0,0.0,0.08,0.0,0.16,0.0,0.16,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.2,0.0,0.04,0.0,0.08,0.0,0.04,0.0,0.08,25,0.9230769230769232,dermatology,0.7076923076923076,0.1754116038614058,0.5,0.5999999999999999,0.5999999999999999,0.8,1.0,0.8615384615384619,0.10439078454267836,0.7,0.8,0.9000000000000002,0.9000000000000002,1.0,-3.6055512754639873,0.6290399646427643,-0.10142883148645206,2.4745040090528225,2.4742120010147617,0.0769230769230769,1,1,0.0,1,1,1,1
57 - Malignant ListaImagens\basal_cell_carcinoma119.jpg,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.2,0.0,0.76,25,1.0,dermatology,0.9720000000000002,0.0541602560309064,0.8000000000000003,1.0,1.0,1.0,1.0,0.9920000000000004,0.027688746209726917,0.8999999999999997,1.0,1.0,1.0,1.0,0.0,-1.8637049115917232,-3.2975255410449806,2.281919968205001,3.0971706996061332,0.0,0,0,0.0,0,0,1,1
59 - Benign ListaImagens\tungiasis20.jpg,0,0.0,0.08,0.0,0.24,0.0,0.12,0.0,0.36,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.08,0.0,0.32,0.0,0.12,0.0,0.08,0.0,0.16,25,0.64,dermatology,0.7200000000000002,0.1732050807568877,0.5,0.5999999999999998,0.6999999999999997,0.8000000000000003,1.0,0.8160000000000001,0.14047538337136978,0.5,0.6999999999999997,0.8999999999999997,0.8999999999999997,1.0,-0.6212473985319652,0.2928588321976368,-0.5037870766233324,2.6556116372833576,0.535076587997228,0.3600000000000001,0,7,9.0,3,7,0,1
6 - Malignant Melanoma superficial diseminante2 (SSM).jpg,1,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.36,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.04,0.0,0.2,0.0,0.28,0.0,0.36,25,1.0,dermatology,0.8679999999999999,0.14352700094407336,0.5,0.8000000000000003,0.8999999999999997,1.0,1.0,0.9319999999999996,0.09451631252505213,0.5999999999999998,0.8999999999999997,1.0,1.0,1.0,0.0,-1.1292133424958521,-2.006184188389509,2.3309214075980456,3.212166801138636,0.0,0,0,0.0,0,0,1,1
60 - Benign ListaImagens\tungiasis9.jpg,0,0.0,0.12,0.0,0.2,0.0,0.24,0.0,0.36,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.4,0.0,0.24,0.0,0.12,0.0,0.0,25,0.32,dermatology,0.6880000000000004,0.19000000000000006,0.0,0.6999999999999997,0.6999999999999997,0.8000000000000003,0.8999999999999997,0.8079999999999999,0.11874342087037923,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,0.8219035275816574,-2.3095013216529234,-0.32823929331732216,2.974222629458737,2.01909495990256,0.3200000000000001,0,0,0.0,0,0,0,0
61 - Benign ListaImagens\warts_filiformis5.jpg,0,0.0,0.0,0.0,0.12,0.0,0.2,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.16,0.0,0.12,0.0,0.04,0.0,0.04,0.0,0.0,25,0.4166666666666667,dermatology,0.6416666666666666,0.12401124093721452,0.5,0.5750000000000001,0.5999999999999999,0.7000000000000001,0.9000000000000002,0.8083333333333335,0.07929614610987591,0.7000000000000001,0.7750000000000002,0.7999999999999999,0.9000000000000002,0.9000000000000002,0.3884033249820895,0.7428215854046961,-0.16105554889960175,2.8825624146113213,-0.3277042597468319,0.4166666666666667,0,4,0.0,0,4,0,0
64 - Benign ListaImagens\warts_vulgaris29.jpg,0,0.0,0.04,0.0,0.08,0.0,0.04,0.0,0.2,0.0,0.12,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.08,0.0,0.04,0.0,0.08,0.0,0.04,0.0,0.08,0.0,0.12,0.0,0.0,25,0.08333333333333333,dermatology,0.6416666666666667,0.2314316444667974,0.2,0.4749999999999999,0.65,0.8249999999999998,0.9000000000000002,0.8583333333333334,0.13113721705515066,0.5999999999999999,0.7750000000000002,0.9000000000000002,0.9250000000000002,1.0,3.464101615137755,-0.506166118348882,-0.7974966996087359,3.2419995400792634,2.017446166977406,0.08333333333333333,0,0,0.0,0,0,0,0
7 - Malignant Superficial Spreading Melanoma (SSM).jpg,1,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.4,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.16,0.0,0.24,0.0,0.24,0.0,0.32,25,0.96,dermatology,0.8599999999999998,0.1322875655532295,0.5,0.8000000000000003,0.8999999999999997,1.0,1.0,0.9160000000000004,0.1106044001535804,0.5,0.8999999999999997,0.8999999999999997,1.0,1.0,-4.999999999999999,-0.8216618978461451,-2.3495848456385398,2.364881141882108,4.282874589369144,0.040000000000000015,0,0,0.0,0,0,1,1
8 - benign carbuncle.jpg,0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.44,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.04,0.0,0.2,0.0,0.44,0.0,0.2,25,0.92,dermatology,0.8440000000000002,0.1529705854077835,0.4000000000000001,0.8000000000000003,0.8999999999999997,0.8999999999999997,1.0,0.9280000000000004,0.07916228058025278,0.6999999999999997,0.8999999999999997,0.8999999999999997,1.0,1.0,-3.297525541044981,-1.5848651872185235,-1.1121897653215516,2.401576505505894,3.198252338660609,0.08000000000000003,0,0,2.0,0,0,1,1
A lightyear is a unit of distance,1,0.0,0.02564102564102564,0.0,0.05128205128205128,0.0,0.15384615384615385,0.0,0.2564102564102564,0.0,0.5128205128205128,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.1282051282051282,0.0,0.05128205128205128,0.0,0.10256410256410256,0.0,0.2564102564102564,0.05128205128205128,0.2307692307692308,0.05128205128205128,0.0,39,0.8974358974358975,trivia_year,0.6861538461538464,0.25408883014260764,0.0,0.5500000000000004,0.8000000000000005,0.8700000000000002,0.95,0.917948717948718,0.10481009109661872,0.6000000000000003,0.8999999999999994,1.0,1.0,1.0,-2.725963608660696,-1.4406033637466389,-1.2456162971925546,2.6035434224699507,2.6755237417936413,0.10256410256410263,1,0,0.0,1,0,1,1
A monotreme is a mammal which lays eggs,1,0.0,0.1794871794871795,0.0,0.1794871794871795,0.0,0.10256410256410256,0.0,0.10256410256410256,0.0,0.05128205128205128,0.0,0.02564102564102564,0.0,0.0,0.02564102564102564,0.0,0.05128205128205128,0.05128205128205128,0.0,0.3333333333333333,0.05128205128205128,0.05128205128205128,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.1794871794871795,0.0,0.0,0.0,0.0,39,0.4358974358974359,trivia_eggs,0.5758974358974359,0.17055201319180816,0.10000000000000006,0.5,0.5500000000000004,0.7250000000000004,0.8000000000000005,0.6512820512820516,0.15873147612074595,0.5,0.5,0.6000000000000003,0.75,1.0,0.26900266402535017,-0.5135397688362972,0.7451884474959067,2.9729247141417257,0.0014989012285179498,0.43589743589743607,0,14,17.0,6,15,0,0
A muon has negative electric charge,1,0.0,0.2307692307692308,0.0,0.0,0.0,0.02564102564102564,0.0,0.05128205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.02564102564102564,0.1282051282051282,0.5384615384615384,0.02564102564102564,0.07692307692307693,0.02564102564102564,0.05128205128205128,0.0,0.02564102564102564,0.0,0.05128205128205128,0.0,0.0,39,0.4615384615384616,trivia_muon,0.5230769230769227,0.14600205200709832,0.0,0.5,0.5,0.5249999999999998,0.8999999999999994,0.5512820512820512,0.10226846731132644,0.5,0.5,0.5,0.6000000000000003,0.8999999999999994,0.16054535047329546,-0.23082050612411445,2.530972806011264,3.0104195821189172,0.7692228981516279,0.4615384615384615,9,15,18.0,9,15,0,0
Abkhazia is a disputed territory in Georgia.,1,0.0,0.20512820512820512,0.0,0.2307692307692308,0.0,0.0,0.0,0.10256410256410256,0.0,0.0,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.5128205128205128,0.02564102564102564,0.10256410256410256,0.0,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.0,0.0,0.0,0.02564102564102564,39,0.6410256410256411,trivia_Georgia,0.5256410256410257,0.1519832897981477,0.10000000000000006,0.5,0.5,0.5749999999999995,1.0,0.6076923076923074,0.12852322211756825,0.5,0.5,0.6000000000000003,0.6999999999999995,0.8999999999999994,-0.6117599486651412,0.3832751424966041,1.1040175429316144,2.9454100504913785,2.1001789686448924,0.3589743589743591,6,14,0.0,12,14,1,1
Alabama,0,0.0,0.24242424242424246,0.0,0.12121212121212123,0.12121212121212123,0.030303030303030307,0.0,0.060606060606060615,0.030303030303030307,0.21212121212121213,0.0,0.0,0.0,0.0,0.0,0.0,0.12121212121212123,0.12121212121212123,0.0,0.12121212121212123,0.0,0.18181818181818185,0.0,0.09090909090909093,0.030303030303030307,0.21212121212121213,0.0,0.030303030303030307,0.030303030303030307,0.060606060606060615,33,0.5757575757575758,state,0.6296969696969693,0.20293910491334646,0.30000000000000004,0.5,0.6000000000000001,0.8000000000000004,1.0,0.7318181818181816,0.18363439467891324,0.5,0.6000000000000001,0.6999999999999996,0.8999999999999995,1.0,-0.3213656478302573,0.06375124005502021,0.3333779859356832,2.8688492963875505,0.4538515503104606,0.424242424242424,13,14,14.0,11,0,0,1
Alaska,0,0.0,0.060606060606060615,0.0,0.060606060606060615,0.0,0.15151515151515152,0.030303030303030307,0.09090909090909093,0.0,0.42424242424242425,0.0,0.030303030303030307,0.0,0.0,0.030303030303030307,0.0,0.060606060606060615,0.030303030303030307,0.030303030303030307,0.030303030303030307,0.030303030303030307,0.24242424242424246,0.060606060606060615,0.09090909090909093,0.030303030303030307,0.18181818181818185,0.0,0.12121212121212123,0.0,0.0,33,0.3939393939393939,state,0.6106060606060607,0.23006710154240034,0.0,0.5500000000000003,0.6000000000000001,0.8000000000000004,0.8999999999999995,0.8227272727272731,0.19489216132378065,0.5,0.6999999999999996,0.8999999999999995,1.0,1.0,0.4550735891084457,-1.0464122428331928,-0.6656942019732015,3.1084143709017598,0.8502630869641844,0.393939393939394,0,0,0.0,0,0,0,0
Albert Einstein never won a Nobel Prize in Physics,0,0.0,0.10256410256410256,0.0,0.20512820512820512,0.0,0.20512820512820512,0.0,0.28205128205128205,0.0,0.10256410256410256,0.0,0.05128205128205128,0.0,0.0,0.0,0.02564102564102564,0.0,0.07692307692307693,0.0,0.20512820512820512,0.0,0.1282051282051282,0.05128205128205128,0.07692307692307693,0.05128205128205128,0.15384615384615385,0.0,0.1282051282051282,0.02564102564102564,0.02564102564102564,39,0.3333333333333333,trivia_einstein,0.6338461538461538,0.21919248191841492,0.10000000000000006,0.5,0.6400000000000003,0.8000000000000005,1.0,0.7769230769230767,0.14949307053389396,0.5,0.6999999999999995,0.8000000000000005,0.8999999999999994,1.0,0.7357112210170913,-0.5365588306647963,-0.3796614555715382,3.015842816588933,1.2319002790786988,0.3333333333333335,5,9,0.0,6,0,0,0
