,actual,"confidence_(0.5, 0.55]","confidence_(0.55, 0.6]","confidence_(0.6, 0.65]","confidence_(0.65, 0.7]","confidence_(0.7, 0.75]","confidence_(0.75, 0.8]","confidence_(0.8, 0.85]","confidence_(0.85, 0.9]","confidence_(0.9, 0.95]","confidence_(0.95, 1.0]","sc_(0.0, 0.05]","sc_(0.05, 0.1]","sc_(0.1, 0.15]","sc_(0.15, 0.2]","sc_(0.2, 0.25]","sc_(0.25, 0.3]","sc_(0.3, 0.35]","sc_(0.35, 0.4]","sc_(0.4, 0.45]","sc_(0.45, 0.5]","sc_(0.5, 0.55]","sc_(0.55, 0.6]","sc_(0.6, 0.65]","sc_(0.65, 0.7]","sc_(0.7, 0.75]","sc_(0.75, 0.8]","sc_(0.8, 0.85]","sc_(0.85, 0.9]","sc_(0.9, 0.95]","sc_(0.95, 1.0]",number_of_participants,own,topic,mean_sc,std_sc,min_sc,p25_sc,p50_sc,p75_sc,max_sc,mean_conf,std_conf,min_conf,p25_conf,p50_conf,p75_conf,max_conf,skew_own,skew_sc,skew_conf,skew_row_average,skew_row_skew,minority_percentage,real_expert_number,P_expert_number_rT,P_expert_number_rF,MEAN_P_expert_rT,MEAN_P_expert_rF,prelec_prediction,majority_prediction
19 - Benign eclipse_nevus_7_080322.jpg,0,0.0,0.08,0.0,0.16,0.0,0.12,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.08,0.0,0.24,0.0,0.0,0.0,0.04,0.0,0.0,25,0.16666666666666666,dermatology,0.6500000000000001,0.11677484162422845,0.5,0.5750000000000001,0.7000000000000001,0.7000000000000001,0.9000000000000002,0.7666666666666666,0.1230914909793328,0.5999999999999999,0.7000000000000001,0.75,0.8249999999999998,1.0,2.0552372125864204,0.4110474425172835,0.4159507663173621,3.047704908303108,-2.1709953367570867,0.16666666666666666,0,0,0.0,0,0,0,0
19 - Malignant ListaImagens\basal_cell_carcinoma133.jpg,1,0.0,0.04,0.0,0.12,0.0,0.24,0.0,0.36,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.2,0.0,0.12,0.0,0.16,0.0,0.24,0.0,0.24,0.0,0.0,25,0.84,dermatology,0.708,0.1605199883711267,0.4000000000000001,0.5999999999999998,0.6999999999999997,0.8000000000000003,0.8999999999999997,0.8440000000000002,0.1293573860795484,0.5,0.8000000000000003,0.8999999999999997,0.8999999999999997,1.0,-1.9754091793527024,-0.3378552544419489,-0.923564938366038,2.535572866806525,1.802096789009248,0.16000000000000006,4,4,0.0,4,4,1,1
2 - benign trichoblastoma.jpg,0,0.0,0.0,0.0,0.08,0.0,0.2,0.0,0.16,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.0,0.08,0.0,0.2,0.0,0.08,0.0,0.04,0.0,0.0,25,0.5833333333333334,dermatology,0.6749999999999999,0.13568010505999364,0.4,0.5999999999999999,0.7000000000000001,0.7249999999999998,0.9000000000000002,0.8333333333333334,0.08876253645985945,0.7000000000000001,0.7999999999999999,0.7999999999999999,0.9000000000000002,1.0,-0.3884033249820904,-0.5077302148198368,0.13865863683670174,2.7271856309197062,0.7421166774639809,0.4166666666666667,0,4,5.0,0,4,0,1
2 - maligant basal cell carcinoma morpheform.jpg,1,0.0,0.08,0.0,0.08,0.0,0.12,0.0,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.16,0.0,0.04,0.0,0.12,0.0,0.04,0.0,0.04,0.0,0.08,25,0.7692307692307693,dermatology,0.676923076923077,0.20064000163579115,0.4,0.5,0.7,0.8,1.0,0.8230769230769232,0.14232501627054275,0.5999999999999999,0.7,0.8,0.9000000000000002,1.0,-1.4511323592170853,0.4463135417133008,-0.27288066112089165,2.640401365990461,1.3016727343947692,0.2307692307692308,3,3,0.0,3,3,1,1
20 - Benign sebker_1_011003.jpg,0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.32,0.0,0.56,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.12,0.0,0.16,0.0,0.52,25,0.0,dermatology,0.8160000000000001,0.307787805693035,0.0,0.8000000000000003,1.0,1.0,1.0,0.9400000000000002,0.0816496580927726,0.6999999999999997,0.8999999999999997,1.0,1.0,1.0,0.0,-1.906226514380492,-1.3978066466969208,3.2623847532859016,2.4384484742788857,0.0,0,0,0.0,0,0,0,0
21 - Malignant ListaImagens\basal_cell_carcinoma163.jpg,1,0.0,0.04,0.0,0.04,0.0,0.12,0.0,0.48,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.16,0.0,0.16,0.0,0.28,0.0,0.16,0.0,0.2,25,0.88,dermatology,0.7959999999999997,0.14854853303438134,0.5,0.6999999999999997,0.8000000000000003,0.8999999999999997,1.0,0.8999999999999997,0.10000000000000003,0.5999999999999998,0.8999999999999997,0.8999999999999997,1.0,1.0,-2.4907458899902215,-0.17468388287728806,-1.358695652173914,2.438751054062799,2.379065724284549,0.12000000000000005,0,2,0.0,0,2,1,1
22 - Benign ListaImagens\angiokeratoma-solitary_angiokeratoma4.jpg,0,0.0,0.04,0.0,0.04,0.0,0.08,0.0,0.24,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.08,0.0,0.04,0.0,0.08,0.0,0.12,0.0,0.0,25,0.5833333333333334,dermatology,0.6500000000000001,0.23548788812706575,0.09999999999999998,0.5,0.65,0.8249999999999998,0.9000000000000002,0.8166666666666665,0.14668044012461756,0.5,0.7750000000000002,0.9000000000000002,0.9000000000000002,1.0,-0.3884033249820904,-1.0275144723544858,-1.1714648917709043,2.812604075611944,1.9055887067019612,0.4166666666666667,3,5,5.0,0,5,0,1
22 - Malignant ListaImagens\basal_cell_carcinoma16.jpg,1,0.0,0.0,0.0,0.16,0.0,0.16,0.0,0.08,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.2,0.0,0.08,0.0,0.0,0.0,0.04,0.0,0.0,25,0.2307692307692308,dermatology,0.5692307692307691,0.1797434068545835,0.1,0.5,0.5999999999999999,0.5999999999999999,0.9000000000000002,0.753846153846154,0.14500221041639685,0.5,0.7,0.8,0.8,1.0,1.451132359217084,-1.0825918346266314,-0.3807572509203502,3.1335705438624197,1.4960412010477155,0.2307692307692308,0,0,3.0,0,0,0,0
23 - Benign ListaImagens\Angiokeratoma-Solitary_Angiokeratoma2.jpg,0,0.0,0.0,0.0,0.12,0.0,0.36,0.0,0.32,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.16,0.0,0.2,0.0,0.32,0.0,0.08,0.0,0.16,25,0.92,dermatology,0.7639999999999998,0.14966629547095775,0.5,0.6999999999999997,0.8000000000000003,0.8000000000000003,1.0,0.8599999999999998,0.09574271077563384,0.6999999999999997,0.8000000000000003,0.8999999999999997,0.8999999999999997,1.0,-3.297525541044985,0.03008763981156913,0.0,2.445234132174441,2.6465880959853645,0.08000000000000003,0,0,2.0,0,0,1,1
24 - Malignant ListaImagens\basal_cell_carcinoma217.jpg,1,0.0,0.0,0.0,0.24,0.0,0.24,0.0,0.36,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.12,0.0,0.12,0.0,0.24,0.0,0.16,0.0,0.04,25,0.76,dermatology,0.6839999999999997,0.1795364401266032,0.2999999999999999,0.5,0.6999999999999997,0.8000000000000003,1.0,0.8439999999999999,0.10440306508910553,0.6999999999999997,0.8000000000000003,0.8999999999999997,0.8999999999999997,1.0,-1.2966976262249148,-0.16250654401529852,-0.06609650871290372,2.6204624439915647,1.5987648689255374,0.2400000000000001,4,6,0.0,5,6,1,1
