title,subject,actual_price,actual,own_price_bin,own,meta
HOW MUCH,rod,25,0,1,0,0.4
Chorus,rod,4800,0,2,1,0.5
Tender Nurse,rod,2256000,1,1,0,0.5
Morning,rod,1100,0,2,1,0.4
Moth,rod,747825,1,1,0,0.5
Green Dress In Blue Space,rod,4500,0,1,0,0.5
Falling Figure with Bird,rod,1248000,1,2,1,0.8
Those Who Are Here Again,rod,824000,1,2,1,0.2
Camel Driver,rod,4500,0,2,1,0.4
Portrait-2,rod,950,0,2,1,0.6
1304,rod,6000,0,2,1,0.8
sleepy land,rod,65,0,2,1,0.6
THE 10th MILKY WAY 5th CONSTELLATION GALAXY OF TUUNES,rod,8000,0,1,0,0.3
Mapping the Soul,rod,35,0,1,0,0.6
Bobs World,rod,822400,1,2,1,0.4
Recompensa,rod,980,0,2,1,0.8
High Society,rod,968000,1,1,0,0.6
Jasmine,rod,4200,0,0,0,0.5
A Question of Balance,rod,950,0,1,0,0.5
Panic,rod,75,0,1,0,0.4
under the sun,rod,4800,0,2,1,0.3
abstract66,rod,7500,0,2,1,0.6
White line melody,rod,850,0,1,0,0.6
Lavender Mist,rod,420000,1,2,1,0.5
Figure 4,rod,17400000,1,1,0,0.2
Sharp Angle,rod,350,0,1,0,0.2
Colorado River,rod,192000,1,2,1,0.4
structure I,rod,50,0,1,0,0.2
Self-Portrait as Goofy-Foot,rod,744000,1,0,0,0.25
tree of life,rod,9000,0,1,0,0.3
Flannan,rod,936000,1,2,1,0.5
Calvary,rod,850,0,1,0,0.3
RED CHANGER,rod,9100,0,2,1,0.4
Samurai,rod,85,0,1,0,0.6
Standing Male Nude in the Shower,rod,1160000,1,1,0,0.1
Folly,rod,1200,0,2,1,0.5
a place,rod,60,0,1,0,0.5
Nude Aqua,rod,70,0,1,0,0.6
Bruce Bernard,rod,119556,1,1,0,0.25
Yellow spin,rod,6000,0,1,0,0.5
The still life with the flowers,rod,650,0,2,1,0.6
dance in the living room,rod,8000,0,2,1,0.5
Birdie View II,rod,1625,0,1,0,0.5
Rhythmic Structure,rod,4500,0,2,1,0.3
Dilusion,rod,750,0,1,0,0.25
On The Couch,none-M1,700,0,0,0,0.05
conversation with spoonbill,none-M1,50,0,0,0,0
Nu debout,none-M1,689600,1,1,0,0.25
ramana,none-M1,9600,0,1,0,0.5
Captives,none-M1,779200,1,2,1,0.75
Intruder,none-M1,20,0,3,1,0.5
Midsummer Night,none-M1,650,0,0,0,0.1
Waiting for the rain,none-M1,100,0,1,0,0.1
Flor,none-M1,800,0,3,1,0.5
Red Irises,none-M1,2500,0,0,0,0.5
celestial,none-M1,1900,0,2,1,0.5
Amazing land,none-M1,89,0,2,1,0.75
Lotus Rising,none-M1,14400,0,0,0,0.1
Mandala No3,none-M1,1500,0,3,1,0.5
