state,expt city,subject,meta,own,actual
Arizona,Phoenix,31,0.85,0,1
Arizona,Phoenix,32,0.6,0,1
Arizona,Phoenix,33,0.9,1,1
Arizona,Phoenix,34,0.75,1,1
Arizona,Phoenix,35,0.6,0,1
Arizona,Phoenix,36,0.7,1,1
Arizona,Phoenix,37,0.7,0,1
Arizona,Phoenix,38,0.9,1,1
Arizona,Phoenix,39,0.6,1,1
Arizona,Phoenix,40,0.2,0,1
Arizona,Phoenix,41,0.75,1,1
Arizona,Phoenix,42,0.5,1,1
Arizona,Phoenix,43,0.1,0,1
Arizona,Phoenix,44,0.75,1,1
Arizona,Phoenix,45,0.9,1,1
Arizona,Phoenix,46,0.75,1,1
Arizona,Phoenix,47,0.6,0,1
Arizona,Phoenix,48,0.7,0,1
Arizona,Phoenix,49,0.75,1,1
Arizona,Phoenix,50,0.65,1,1
Arizona,Phoenix,51,1,1,1
Arkansas,Little_Rock,1,0.7,1,1
Arkansas,Little_Rock,2,0.4,0,1
Arkansas,Little_Rock,3,0.6,1,1
Arkansas,Little_Rock,4,0.7,1,1
Arkansas,Little_Rock,5,0.8,0,1
Arkansas,Little_Rock,6,0.5,0,1
Arkansas,Little_Rock,7,0.6,1,1
Arkansas,Little_Rock,8,0.95,1,1
Arkansas,Little_Rock,9,0.6,1,1
Arkansas,Little_Rock,10,0.6,1,1
Arkansas,Little_Rock,11,0.75,1,1
Arkansas,Little_Rock,12,0.9,1,1
Arkansas,Little_Rock,13,0.8,1,1
Arkansas,Little_Rock,14,0.8,1,1
Arkansas,Little_Rock,15,0.8,1,1
Arkansas,Little_Rock,16,0.9,1,1
Arkansas,Little_Rock,17,0.4,0,1
Arkansas,Little_Rock,18,0.5,1,1
Arkansas,Little_Rock,19,0.75,0,1
Arkansas,Little_Rock,20,0.5,0,1
Arkansas,Little_Rock,21,0.8,1,1
Arkansas,Little_Rock,22,0.8,1,1
Arkansas,Little_Rock,23,0.95,1,1
Arkansas,Little_Rock,24,0.9,1,1
Arkansas,Little_Rock,25,0.75,1,1
Arkansas,Little_Rock,26,0.6,1,1
Arkansas,Little_Rock,27,0.5,0,1
Arkansas,Little_Rock,28,0.5,1,1
Arkansas,Little_Rock,29,0.5,0,1
Arkansas,Little_Rock,30,0.9,1,1
Arkansas,Little_Rock,31,0.9,1,1
Arkansas,Little_Rock,32,0.5,1,1
Arkansas,Little_Rock,33,0.8,1,1
Arkansas,Little_Rock,34,0.75,1,1
Arkansas,Little_Rock,35,0.8,1,1
Arkansas,Little_Rock,36,0.8,1,1
Arkansas,Little_Rock,37,0.7,0,1
Arkansas,Little_Rock,38,0.8,1,1
Arkansas,Little_Rock,39,0.4,0,1
Arkansas,Little_Rock,40,0.7,1,1
Arkansas,Little_Rock,41,0.2,0,1
Arkansas,Little_Rock,42,0.9,1,1
Arkansas,Little_Rock,43,0.1,1,1
Arkansas,Little_Rock,44,0.7,1,1
Arkansas,Little_Rock,45,0.85,0,1
Arkansas,Little_Rock,46,0.75,1,1
Arkansas,Little_Rock,47,0.7,1,1
Arkansas,Little_Rock,48,0.5,1,1
Arkansas,Little_Rock,49,0.4,1,1
Arkansas,Little_Rock,50,0.7,1,1
Arkansas,Little_Rock,51,0.8,1,1
California,Los_Angeles,1,0.3,0,0
California,Los_Angeles,2,0.8,1,0
California,Los_Angeles,3,1,1,0
California,Los_Angeles,4,0.4,0,0
California,Los_Angeles,5,0.9,0,0
California,Los_Angeles,6,0.2,0,0
California,Los_Angeles,7,0.6,1,0
California,Los_Angeles,8,0.99,1,0
California,Los_Angeles,9,0.5,0,0
California,Los_Angeles,10,0.4,0,0
California,Los_Angeles,11,0.1,0,0
California,Los_Angeles,12,0.8,0,0
California,Los_Angeles,13,0.9,1,0
California,Los_Angeles,14,0.3,0,0
California,Los_Angeles,15,0.8,1,0
California,Los_Angeles,16,0.95,1,0
California,Los_Angeles,17,0.1,0,0
California,Los_Angeles,18,0.65,0,0
California,Los_Angeles,19,0.8,0,0
California,Los_Angeles,20,0.8,1,0
California,Los_Angeles,21,0.5,0,0
California,Los_Angeles,22,0.3,0,0
California,Los_Angeles,23,0.1,0,0
California,Los_Angeles,24,0.6,0,0
California,Los_Angeles,25,0.8,1,0
California,Los_Angeles,26,0.45,0,0
California,Los_Angeles,27,0.7,0,0
California,Los_Angeles,28,0.5,0,0
California,Los_Angeles,29,0.8,0,0
California,Los_Angeles,30,0.9,1,0
California,Los_Angeles,31,0.95,0,0
California,Los_Angeles,32,0.8,0,0
California,Los_Angeles,33,0.6,0,0
California,Los_Angeles,34,0.25,0,0
California,Los_Angeles,35,0.7,0,0
California,Los_Angeles,36,0.2,0,0
California,Los_Angeles,37,0.15,0,0
California,Los_Angeles,38,0.6,0,0
California,Los_Angeles,39,0.6,0,0
California,Los_Angeles,40,0.3,0,0
California,Los_Angeles,41,0.1,0,0
California,Los_Angeles,42,0.7,0,0
California,Los_Angeles,43,0.2,0,0
California,Los_Angeles,44,0.7,1,0
California,Los_Angeles,45,0.6,0,0
California,Los_Angeles,46,0,0,0
California,Los_Angeles,47,0.85,0,0
California,Los_Angeles,48,0.6,0,0
California,Los_Angeles,49,0.25,0,0
California,Los_Angeles,50,0,0,0
California,Los_Angeles,51,0.05,0,0
Colorado,Denver,1,0.7,1,1
Colorado,Denver,2,0.8,1,1
Colorado,Denver,3,0.6,0,1
Colorado,Denver,4,0.3,0,1
Colorado,Denver,5,0.9,1,1
Colorado,Denver,6,0.5,1,1
Colorado,Denver,7,0.5,1,1
Colorado,Denver,8,0.95,1,1
Colorado,Denver,9,0.9,1,1
Colorado,Denver,10,0.6,1,1
Colorado,Denver,11,0.7,1,1
Colorado,Denver,12,0.9,1,1
Colorado,Denver,13,0.9,1,1
Colorado,Denver,14,0.8,1,1
Colorado,Denver,15,0.55,1,1
Colorado,Denver,16,0.8,1,1
Colorado,Denver,17,0.2,0,1
Colorado,Denver,18,0.65,1,1
Colorado,Denver,19,0.6,1,1
Colorado,Denver,20,0.6,0,1
Colorado,Denver,21,0.6,0,1
Colorado,Denver,22,0.9,1,1
Colorado,Denver,23,0.7,1,1
Colorado,Denver,24,0.6,0,1
Colorado,Denver,25,0.8,0,1
Colorado,Denver,26,0.7,1,1
Colorado,Denver,27,0.5,0,1
Colorado,Denver,28,0.8,1,1
Colorado,Denver,29,0.5,1,1
Colorado,Denver,30,0.9,1,1
Colorado,Denver,31,0.98,1,1
Colorado,Denver,32,0.9,1,1
Colorado,Denver,33,0.9,1,1
Colorado,Denver,34,0.5,0,1
Colorado,Denver,35,0.8,1,1
Colorado,Denver,36,0.7,1,1
Colorado,Denver,37,0.75,0,1
Colorado,Denver,38,0.8,1,1
Colorado,Denver,39,0.5,1,1
Colorado,Denver,40,0.6,1,1
Colorado,Denver,41,0.7,0,1
Colorado,Denver,42,0.8,1,1
Colorado,Denver,43,0.1,1,1
Colorado,Denver,44,0.75,1,1
Colorado,Denver,45,0.9,1,1
Colorado,Denver,46,0.7,1,1
Colorado,Denver,47,0.8,1,1
Colorado,Denver,48,0.6,1,1
Colorado,Denver,49,0.55,1,1
Colorado,Denver,50,0.85,1,1
Colorado,Denver,51,0.95,1,1
Connecticut,Bridgeport,1,0.5,0,0
